Sura;Aya;Bagian;Arabic;Transliteration;Transcript
41;9;2;وَتَجْعَلُوْنَ لَهٗٓ اَنْدَادًا ۗذٰلِكَ رَبُّ الْعٰلَمِيْنَ ۚ;wa taj'alụna lahū andādā, żālika rabbul-'ālamī;i wa taj 'a lụ na la hū an dā dā , żā li ka rab bul 'ā la mī
41;10;1;وَجَعَلَ فِيْهَا رَوَاسِيَ مِنْ فَوْقِهَا وَبٰرَكَ فِيْهَا وَقَدَّرَ فِيْهَآ;ja'ala fīhā rawāsiya min fauqihā wa bāraka fīhā wa qaddara fīhā ;a ja 'a la fī hā ra wā si ya min fau qi hā wa bā ra ka fī hā wa qad da ra fī hā
41;10;2;اَقْوَاتَهَا فِيْٓ اَرْبَعَةِ اَيَّامٍۗ سَوَاۤءً لِّلسَّاۤىِٕلِيْنَ;ā aqwātahā fī arba'ati ayyām, sawā`al lis-sā`ilīn;hā aq wā ta hā fī ar ba 'a ti ay yām , sa wā `al lis sā `i līn
41;11;1;ثُمَّ اسْتَوٰىٓ اِلَى السَّمَاۤءِ وَهِيَ دُخَانٌ فَقَالَ لَهَا وَلِلْاَرْضِ;ṡummastawā ilas-samā`i wa hiya dukhānun fa qāla lahā wa lil-ar;ṡum mas ta wā i las sa mā `i wa hi ya du khā nun fa qā la la hā wa lil ar
41;11;2;ائْتِيَا طَوْعًا اَوْ كَرْهًاۗ قَالَتَآ اَتَيْنَا طَاۤىِٕعِيْنَ;ḍi`tiyā ṭau'an au karhā, qālatā atainā ṭā`i'īn;r ḍi` ti yā ṭau 'an au kar hā , qā la tā a tai nā ṭā `i 'īn
41;12;1;فَقَضٰىهُنَّ سَبْعَ سَمٰوٰتٍ فِيْ يَوْمَيْنِ وَاَوْحٰى فِيْ كُلِّ;fa qaḍāhunna sab'a samāwātin fī yaumaini wa auḥā fī kull;fa qa ḍā hun na sab 'a sa mā wā tin fī yau mai ni wa au ḥā fī kul l
41;12;2;سَمَاۤءٍ اَمْرَهَا ۗوَزَيَّنَّا السَّمَاۤءَ الدُّنْيَا بِمَصَابِيْحَۖ;samā`in amrahā, wa zayyannas-samā`ad-dun-yā bimaṣābīḥa;i sa mā `in am ra hā , wa zay yan nas sa mā `ad dun yā bi ma ṣā bī ḥa
41;12;3;وَحِفْظًا ۗذٰلِكَ تَقْدِيْرُ الْعَزِيْزِ الْعَلِيْمِ;wa ḥifẓā, żālika taqdīrul-'azīzil-'al;a wa ḥif ẓā , żā li ka taq dī rul 'a zī zil 'a l
41;13;1;فَاِنْ اَعْرَضُوْا فَقُلْ اَنْذَرْتُكُمْ صٰعِقَةً مِّثْلَ صٰعِقَةِ عَادٍ وَّثَمُوْدَ ۗ;fa in a'raḍụ fa qul anżartukum ṣā'iqatam miṡla ṣā'iqati 'ādiw wa ṡamụd;fa in a' ra ḍụ fa qul an żar tu kum ṣā 'i qa tam miṡ la ṣā 'i qa ti 'ā diw wa ṡa mụd
41;14;1;اِذْ جَاۤءَتْهُمُ الرُّسُلُ مِنْۢ بَيْنِ اَيْدِيْهِمْ وَمِنْ خَلْفِهِمْ;iż jā`at-humur-rusulu mim baini aidīhim wa min khalfih;iż jā `at hu mur ru su lu mim bai ni ai dī him wa min khal fi h
41;14;2;اَلَّا تَعْبُدُوْٓا اِلَّا اللّٰهَ ۗقَالُوْا لَوْ شَاۤءَ رَبُّنَا لَاَنْزَلَ;allā ta'budū illallāh, qālụ lau syā`a rabbunā la`anzala;l llāh , qā lụ lau syā `a rab bu nā la `an za la ma lā `i ka tan fa in
41;14;3;مَلٰۤىِٕكَةً فَاِنَّا بِمَآ اُرْسِلْتُمْ بِهٖ كٰفِرُوْنَ; malā`ikatan fa innā bimā ursiltum bihī kāfir;a ma lā `i ka tan fa in nā bi mā ur sil tum bi hī kā fi r
41;15;1;فَاَمَّا عَادٌ فَاسْتَكْبَرُوْا فِى الْاَرْضِ بِغَيْرِ الْحَقِّ وَقَالُوْا; ammā 'ādun fastakbarụ fil-arḍi bigairil-ḥaqqi wa qāl;a am mā 'ā dun fas tak ba rụ fil ar ḍi bi gai ril ḥaq qi wa qā l
41;15;2;مَنْ اَشَدُّ مِنَّا قُوَّةً ۗ اَوَلَمْ يَرَوْا اَنَّ اللّٰهَ الَّذِيْ خَلَقَهُمْ;man asyaddu minnā quwwah, a wa lam yarau annallāhallażī khalaqah;ụ man a syad du min nā quw wah , a wa lam ya rau an nall llā hal la żī kha la q
41;15;3;هُوَ اَشَدُّ مِنْهُمْ قُوَّةً ۗ وَكَانُوْا بِاٰيٰتِنَا يَجْحَدُوْنَ;huwa asyaddu min-hum quwwah, wa kānụ bi`āyātinā yaj-ḥa;m hu wa a syad du min hum quw wah , wa kā nụ bi `ā yā ti nā yaj ḥa
41;16;1;فَاَرْسَلْنَا عَلَيْهِمْ رِيْحًا صَرْصَرًا فِيْٓ اَيَّامٍ نَّحِسَاتٍ;fa arsalnā 'alaihim rīḥan ṣarṣaran fī ayyāmin naḥisātil;fa ar sal nā 'a lai him rī ḥan ṣar ṣa ran fī ay yā min na ḥi sā til
41;16;2;لِّنُذِيْقَهُمْ عَذَابَ الْخِزْيِ فِى الْحَيٰوةِ الدُّنْيَا ۗوَلَعَذَابُ;linużīqahum 'ażābal-khizyi fil-ḥayātid-dun-yā, wa la'a;l li nu żī qa hum 'a żā bal khiz yi fil ḥa yā tid dun yā , wa la 'a
41;16;3;الْاٰخِرَةِ اَخْزٰى وَهُمْ لَا يُنْصَرُوْنَ;l-ākhirati akhzā wa hum lā yunṣarụn;ul ā khi ra ti akh zā wa hum lā yun ṣa rụn
41;17;1;وَاَمَّا ثَمُوْدُ فَهَدَيْنٰهُمْ فَاسْتَحَبُّوا الْعَمٰى عَلَى الْهُدٰى فَاَخَذَتْهُمْ;wa ammā ṡamụdu fa hadaināhum fastaḥabbul-'amā 'alal-hudā fa akhaża;wa am mā ṡa mụ du fa ha dai nā hum fas ta ḥab bul 'a mā 'a lal hu dā fa a kha ża
41;17;2;صٰعِقَةُ الْعَذَابِ الْهُوْنِ بِمَا كَانُوْا يَكْسِبُوْنَ ۚ;ṣā'iqatul-'ażābil-hụni bimā kānụ yaksibụn;m ṣā 'i qa tul 'a żā bil hụ ni bi mā kā nụ yak si bụn
41;18;1;وَنَجَّيْنَا الَّذِيْنَ اٰمَنُوْا وَكَانُوْا يَتَّقُوْنَ ࣖ;wa najjainallażīna āmanụ wa kānụ yattaqụn;wa naj jai nal la żī na ā ma nụ wa kā nụ yat ta qụn
41;19;1;وَيَوْمَ يُحْشَرُ اَعْدَاۤءُ اللّٰهِ اِلَى النَّارِ فَهُمْ يُوْزَعُوْنَ;wa yauma yuḥsyaru a'dā`ullāhi ilan-nāri fa hum yụza'ụn;l llā hi i lan nā ri fa hum yụ za 'ụn
41;20;1;حَتّٰىٓ اِذَا مَا جَاۤءُوْهَا شَهِدَ عَلَيْهِمْ سَمْعُهُمْ وَاَبْصَارُهُمْ;ḥattā iżā mā jā`ụhā syahida 'alaihim sam'uhum wa abṣāruhum ;ḥat tā i żā mā jā `ụ hā sya hi da 'a lai him sam 'u hum wa ab ṣā ru hum
41;20;2;وَجُلُوْدُهُمْ بِمَا كَانُوْا يَعْمَلُوْنَ;wa julụduhum bimā kānụ ya'malụn;m wa ju lụ du hum bi mā kā nụ ya' ma lụn
41;21;1;وَقَالُوْا لِجُلُوْدِهِمْ لِمَ شَهِدْتُّمْ عَلَيْنَا ۗقَالُوْٓا اَنْطَقَنَا اللّٰهُ الَّذِيْٓ;wa qālụ lijulụdihim lima syahittum 'alainā, qālū anṭaqanallāhullażī;wa qā lụ li ju lụ di him li ma sya hit tum 'a lai nā , qā lū an ṭa qa nall llā hul la
41;21;2;اَنْطَقَ كُلَّ شَيْءٍ وَّهُوَ خَلَقَكُمْ اَوَّلَ مَرَّةٍۙ وَّاِلَيْهِ تُرْجَعُوْنَ; anṭaqa kulla syai`iw wa huwa khalaqakum awwala marratiw wa ilaihi turja';ī an ṭa qa kul la syai `iw wa hu wa kha la qa kum aw wa la mar ra tiw wa i lai hi tur ja '
41;22;1;وَمَا كُنْتُمْ تَسْتَتِرُوْنَ اَنْ يَّشْهَدَ عَلَيْكُمْ سَمْعُكُمْ;wa mā kuntum tastatirụna ay yasy-hada 'alaikum sam'uk;wa mā kun tum tas ta ti rụ na ay yasy ha da 'a lai kum sam 'u k
41;22;2;وَلَآ اَبْصَارُكُمْ وَلَا جُلُوْدُكُمْ وَلٰكِنْ ظَنَنْتُمْ اَنَّ;lā abṣārukum wa lā julụdukum wa lākin ẓanantum anna;a lā ab ṣā ru kum wa lā ju lụ du kum wa lā kin ẓa nan tum an na
41;22;3;اللّٰهَ لَا يَعْلَمُ كَثِيْرًا مِّمَّا تَعْمَلُوْنَ;nallāha lā ya'lamu kaṡīram mimmā ta'malụn;l llā ha lā ya' la mu ka ṡī ram mim mā ta' ma lụn
41;23;1;وَذٰلِكُمْ ظَنُّكُمُ الَّذِيْ ظَنَنْتُمْ بِرَبِّكُمْ اَرْدٰىكُمْ فَاَصْبَحْتُمْ مِّنَ الْخٰسِرِيْنَ;wa żālikum ẓannukumullażī ẓanantum birabbikum ardākum fa aṣbaḥtum minal-khāsirīn;wa żā li kum ẓan nu ku mul la żī ẓa nan tum bi rab bi kum ar dā kum fa aṣ baḥ tum mi nal khā si rīn
41;24;1;فَاِنْ يَّصْبِرُوْا فَالنَّارُ مَثْوًى لَّهُمْ ۚوَاِنْ يَّسْتَعْتِبُوْا فَمَا هُمْ مِّنَ الْمُعْتَبِيْنَ;fa iy yaṣbirụ fan-nāru maṡwal lahum, wa iy yasta'tibụ fa mā hum minal-mu'tabīn;fa iy yaṣ bi rụ fan nā ru maṡ wal la hum , wa iy yas ta' ti bụ fa mā hum mi nal mu' ta bīn
41;25;1;۞ وَقَيَّضْنَا لَهُمْ قُرَنَاۤءَ فَزَيَّنُوْا لَهُمْ مَّا بَيْنَ اَيْدِيْهِمْ;wa qayyaḍnā lahum quranā`a fa zayyanụ lahum mā baina aidīhim;wa qay yaḍ nā la hum qu ra nā `a fa zay ya nụ la hum mā bai na ai dī him
41;25;2;وَمَا خَلْفَهُمْ وَحَقَّ عَلَيْهِمُ الْقَوْلُ فِيْٓ اُمَمٍ قَدْ خَلَتْ مِنْ;mā khalfahum wa ḥaqqa 'alaihimul-qaulu fī umaming qad khalat mi;a mā khal fa hum wa ḥaq qa 'a lai hi mul qau lu fī u ma ming qad kha lat mi
41;25;3;قَبْلِهِمْ مِّنَ الْجِنِّ وَالْاِنْسِۚ اِنَّهُمْ كَانُوْا خٰسِرِيْنَ ࣖ;qablihim minal-jinni wal-ins, innahum kānụ khāsirīn;g qab li him mi nal jin ni wal ins , in na hum kā nụ khā si rīn
41;26;1;وَقَالَ الَّذِيْنَ كَفَرُوْا لَا تَسْمَعُوْا لِهٰذَا الْقُرْاٰنِ وَالْغَوْا فِيْهِ لَعَلَّكُمْ تَغْلِبُوْنَ;wa qālallażīna kafarụ lā tasma'ụ lihāżal-qur`āni walgau fīhi la'allakum taglibụn;wa qā lal la żī na ka fa rụ lā tas ma 'ụ li hā żal qur `ā ni wal gau fī hi la 'al la kum tag li bụn
41;27;1;فَلَنُذِيْقَنَّ الَّذِيْنَ كَفَرُوْا عَذَابًا شَدِيْدًاۙ وَّلَنَجْزِيَنَّهُمْ;fa lanużīqannallażīna kafarụ 'ażāban syadīdaw wa lanajziyannah;fa la nu żī qan nal la żī na ka fa rụ 'a żā ban sya dī daw wa la naj zi yan na h
41;27;2;اَسْوَاَ الَّذِيْ كَانُوْا يَعْمَلُوْنَ; aswa`allażī kānụ ya'malụn;m as wa `al la żī kā nụ ya' ma lụn
41;28;1;ذٰلِكَ جَزَاۤءُ اَعْدَاۤءِ اللّٰهِ النَّارُ لَهُمْ فِيْهَا دَارُ;żālika jazā`u a'dā`illāhin-nāru lahum fīhā dārul-;żā li ka ja zā `u a' dā `il lā hin nā ru la hum fī hā dā rul
41;28;2;الْخُلْدِ ۗجَزَاۤءً ۢبِمَا كَانُوْا بِاٰيٰتِنَا يَجْحَدُوْنَ;l-khuld, jazā`am bimā kānụ bi`āyātinā yaj-ḥadụn;ul khuld , ja zā `am bi mā kā nụ bi `ā yā ti nā yaj ḥa dụn
41;29;1;وَقَالَ الَّذِيْنَ كَفَرُوْا رَبَّنَآ اَرِنَا الَّذَيْنِ اَضَلّٰنَا مِنَ الْجِنِّ;wa qālallażīna kafarụ rabbanā arinallażaini aḍallānā minal-jin;wa qā lal la żī na ka fa rụ rab ba nā a ri nal la żai ni a ḍal lā nā mi nal jin
41;29;2;وَالْاِنْسِ نَجْعَلْهُمَا تَحْتَ اَقْدَامِنَا لِيَكُوْنَا مِنَ الْاَسْفَلِيْنَ;l-insi naj'al-humā taḥta aqdāminā liyakụnā minal-asfalīn;al in si naj 'al hu mā taḥ ta aq dā mi nā li ya kụ nā mi nal as fa līn
41;30;1;اِنَّ الَّذِيْنَ قَالُوْا رَبُّنَا اللّٰهُ ثُمَّ اسْتَقَامُوْا تَتَنَزَّلُ;innallażīna qālụ rabbunallāhu ṡummastaqāmụ tatanazzalu;l llā hu ṡum mas ta qā mụ ta ta naz za lu 'a lai hi mul ma lā `i ka tu al
41;30;2;عَلَيْهِمُ الْمَلٰۤىِٕكَةُ اَلَّا تَخَافُوْا وَلَا تَحْزَنُوْا وَاَبْشِرُوْا;'alaihimul-malā`ikatu allā takhāfụ wa lā taḥzanụ wa absyi;u 'a lai hi mul ma lā `i ka tu al lā ta khā fụ wa lā taḥ za nụ wa ab syi
41;30;3;بِالْجَنَّةِ الَّتِيْ كُنْتُمْ تُوْعَدُوْنَ;bil-jannatillatī kuntum tụ'adụn;ụ bil jan na til la tī kun tum tụ 'a dụn
41;31;1;نَحْنُ اَوْلِيَاۤؤُكُمْ فِى الْحَيٰوةِ الدُّنْيَا وَفِى الْاٰخِرَةِ ۚوَلَكُمْ;naḥnu auliyā`ukum fil-ḥayātid-dun-yā wa fil-ākhirah, wa la;naḥ nu au li yā `u kum fil ḥa yā tid dun yā wa fil ā khi rah , wa la
41;31;2;فِيْهَا مَا تَشْتَهِيْٓ اَنْفُسُكُمْ وَلَكُمْ فِيْهَا مَا تَدَّعُوْنَ ۗ; fīhā mā tasytahī anfusukum wa lakum fīhā mā tadda'ụn;m fī hā mā tasy ta hī an fu su kum wa la kum fī hā mā tad da 'ụn
41;32;1;نُزُلًا مِّنْ غَفُوْرٍ رَّحِيْمٍ ࣖ;nuzulam min gafụrir raḥīm;nu zu lam min ga fụ rir ra ḥīm
41;33;1;وَمَنْ اَحْسَنُ قَوْلًا مِّمَّنْ دَعَآ اِلَى اللّٰهِ وَعَمِلَ صَالِحًا وَّقَالَ اِنَّنِيْ مِنَ الْمُسْلِمِيْنَ;wa man aḥsanu qaulam mim man da'ā ilallāhi wa 'amila ṣāliḥaw wa qāla innanī minal-muslimīn;l llā hi wa 'a mi la ṣā li ḥaw wa qā la in na nī mi nal mus li mīn
41;34;1;وَلَا تَسْتَوِى الْحَسَنَةُ وَلَا السَّيِّئَةُ ۗاِدْفَعْ بِالَّتِيْ هِيَ اَحْسَنُ;lā tastawil-ḥasanatu wa las-sayyi`ah, idfa' billatī hiya aḥsanu;a lā tas ta wil ḥa sa na tu wa las say yi `ah , id fa' bil la tī hi ya aḥ sa nu
41;34;2;فَاِذَا الَّذِيْ بَيْنَكَ وَبَيْنَهٗ عَدَاوَةٌ كَاَنَّهٗ وَلِيٌّ حَمِيْمٌ;iżallażī bainaka wa bainahụ 'adāwatung ka`annahụ waliyyun ḥamī;a i żal la żī bai na ka wa bai na hụ 'a dā wa tung ka `an na hụ wa liy yun ḥa mī
41;35;1;وَمَا يُلَقّٰىهَآ اِلَّا الَّذِيْنَ صَبَرُوْاۚ وَمَا يُلَقّٰىهَآ اِلَّا ذُوْ حَظٍّ عَظِيْمٍ;wa mā yulaqqāhā illallażīna ṣabarụ, wa mā yulaqqāhā illā żụ ḥaẓẓin 'aẓīm;wa mā yu laq qā hā il lal la żī na ṣa ba rụ , wa mā yu laq qā hā il lā żụ ḥaẓ ẓin 'a ẓīm
41;36;1;وَاِمَّا يَنْزَغَنَّكَ مِنَ الشَّيْطٰنِ نَزْغٌ فَاسْتَعِذْ بِاللّٰهِ ۗاِنَّهٗ هُوَ السَّمِيْعُ الْعَلِيْمُ;wa immā yanzagannaka minasy-syaiṭāni nazgun fasta'iż billāh, innahụ huwas-samī'ul-'alīm;wa im mā yan za gan na ka mi nasy syai ṭā ni naz gun fas ta 'iż bil lāh , in na hụ hu was sa mī 'ul 'a līm
41;37;1;وَمِنْ اٰيٰتِهِ الَّيْلُ وَالنَّهَارُ وَالشَّمْسُ وَالْقَمَرُۗ;min āyātihil-lailu wan-nahāru wasy-syamsu wal-qamar;a min ā yā ti hil lai lu wan na hā ru wasy syam su wal qa mar
41;37;2;لَا تَسْجُدُوْا لِلشَّمْسِ وَلَا لِلْقَمَرِ وَاسْجُدُوْا لِلّٰهِ;lā tasjudụ lisy-syamsi wa lā lil-qamari wasjudụ lill;, lā tas ju dụ lisy syam si wa lā lil qa ma ri was ju dụ lil l
41;37;3;الَّذِيْ خَلَقَهُنَّ اِنْ كُنْتُمْ اِيَّاهُ تَعْبُدُوْنَ;lażī khalaqahunna ing kuntum iyyāhu ta'budụn;l la żī kha la qa hun na ing kun tum iy yā hu ta' bu dụn
41;38;1;فَاِنِ اسْتَكْبَرُوْا فَالَّذِيْنَ عِنْدَ رَبِّكَ يُسَبِّحُوْنَ;fa inistakbarụ fallażīna 'inda rabbika yusabbiḥụna;fa i nis tak ba rụ fal la żī na 'in da rab bi ka yu sab bi ḥụ na
41;38;2;لَهٗ بِالَّيْلِ وَالنَّهَارِ وَهُمْ لَا يَسْـَٔمُوْنَ ۩;lahụ bil-laili wan-nahāri wa hum lā yas`am;a la hụ bil lai li wan na hā ri wa hum lā yas `a m
41;39;1;وَمِنْ اٰيٰتِهٖٓ اَنَّكَ تَرَى الْاَرْضَ خَاشِعَةً فَاِذَآ اَنْزَلْنَا;min āyātihī annaka taral-arḍa khāsyi'atan fa iżā anzaln;a min ā yā ti hī an na ka ta ral ar ḍa khā syi 'a tan fa i żā an zal n
41;39;2;عَلَيْهَا الْمَاۤءَ اهْتَزَّتْ وَرَبَتْۗ اِنَّ الَّذِيْٓ اَحْيَاهَا;'alaihal-mā`ahtazzat wa rabat, innallażī aḥyāh;ā 'a lai hal mā `ah taz zat wa ra bat , in nal la żī aḥ yā h
41;39;3;لَمُحْيِ الْمَوْتٰى ۗاِنَّهٗ عَلٰى كُلِّ شَيْءٍ قَدِيْرٌ;lamuḥyil-mautā, innahụ 'alā kulli syai`ing qad;ā la muḥ yil mau tā , in na hụ 'a lā kul li syai `ing qa d
41;40;1;اِنَّ الَّذِيْنَ يُلْحِدُوْنَ فِيْٓ اٰيٰتِنَا لَا يَخْفَوْنَ عَلَيْنَاۗ اَفَمَنْ;innallażīna yul-ḥidụna fī āyātinā lā yakhfauna 'alainā, a f;in nal la żī na yul ḥi dụ na fī ā yā ti nā lā yakh fau na 'a lai nā , a f
41;40;2;يُّلْقٰى فِى النَّارِ خَيْرٌ اَمَّنْ يَّأْتِيْٓ اٰمِنًا يَّوْمَ الْقِيٰمَةِ;yulqā fin-nāri khairun am may ya`tī āminay yaumal-qiyāma;y yul qā fin nā ri khai run am may ya` tī ā mi nay yau mal qi yā ma
41;40;3;ۗاِعْمَلُوْا مَا شِئْتُمْ ۙاِنَّهٗ بِمَا تَعْمَلُوْنَ بَصِيْرٌ;, i'malụ mā syi`tum innahụ bimā ta'malụna baṣīr;h , i' ma lụ mā syi` tum in na hụ bi mā ta' ma lụ na ba ṣīr
41;41;1;اِنَّ الَّذِيْنَ كَفَرُوْا بِالذِّكْرِ لَمَّا جَاۤءَهُمْ ۗوَاِنَّهٗ لَكِتٰبٌ عَزِيْزٌ ۙ;innallażīna kafarụ biż-żikri lammā jā`ahum, wa innahụ lakitābun 'azīz;in nal la żī na ka fa rụ biż żik ri lam mā jā `a hum , wa in na hụ la ki tā bun 'a zīz
41;42;1;لَّا يَأْتِيْهِ الْبَاطِلُ مِنْۢ بَيْنِ يَدَيْهِ وَلَا مِنْ خَلْفِهٖ ۗتَنْزِيْلٌ مِّنْ حَكِيْمٍ حَمِيْدٍ;lā ya`tīhil-bāṭilu mim baini yadaihi wa lā min khalfih, tanzīlum min ḥakīmin ḥamīd;lā ya` tī hil bā ṭi lu mim bai ni ya dai hi wa lā min khal fih , tan zī lum min ḥa kī min ḥa mīd
41;43;1;مَا يُقَالُ لَكَ اِلَّا مَا قَدْ قِيْلَ لِلرُّسُلِ مِنْ قَبْلِكَ;mā yuqālu laka illā mā qad qīla lir-rusuli ming qabli;mā yu qā lu la ka il lā mā qad qī la lir ru su li ming qab li
41;43;2;ۗاِنَّ رَبَّكَ لَذُوْ مَغْفِرَةٍ وَّذُوْ عِقَابٍ اَلِيْمٍ;, inna rabbaka lażụ magfiratiw wa żụ 'iqābin alīm;k , in na rab ba ka la żụ mag fi ra tiw wa żụ 'i qā bin a līm
41;44;1;وَلَوْ جَعَلْنٰهُ قُرْاٰنًا اَعْجَمِيًّا لَّقَالُوْا لَوْلَا فُصِّلَتْ اٰيٰتُهٗ;walau ja'alnāhu qur`ānan a'jamiyyal laqālụ lau lā fuṣṣilat āyāt;wa lau ja 'al nā hu qur `ā nan a' ja miy yal la qā lụ lau lā fuṣ ṣi lat ā yā t
41;44;2;ۗ ءَاَ۬عْجَمِيٌّ وَّعَرَبِيٌّ ۗ قُلْ هُوَ لِلَّذِيْنَ اٰمَنُوْا هُدًى وَّشِفَاۤءٌ;, a a'jamiyyuw wa 'arabiyy, qul huwa lillażīna āmanụ hudaw wa syifā`;h , a a' ja miy yuw wa 'a ra biyy , qul hu wa lil la żī na ā ma nụ hu daw wa syi fā`
41;44;3;ۗوَالَّذِيْنَ لَا يُؤْمِنُوْنَ فِيْٓ اٰذَانِهِمْ وَقْرٌ وَّهُوَ عَلَيْهِمْ; wallażīna lā yu`minụna fī āżānihim waqruw wa huwa 'alaihi;, wal la żī na lā yu` mi nụ na fī ā żā ni him waq ruw wa hu wa 'a lai hi
41;44;4;عَمًىۗ اُولٰۤىِٕكَ يُنَادَوْنَ مِنْ مَّكَانٍۢ بَعِيْدٍ ࣖ;im 'amā, ulā`ika yunādauna mim makānim ba'īd;him 'a mā , u lā `i ka yu nā dau na mim ma kā nim ba 'īd
41;45;1;وَلَقَدْ اٰتَيْنَا مُوْسَى الْكِتٰبَ فَاخْتُلِفَ فِيْهِ ۗوَلَوْلَا كَلِمَةٌ سَبَقَتْ;laqad ātainā mụsal-kitāba fakhtulifa fīh, walau lā kalimatun sabaqat;a la qad ā tai nā mụ sal ki tā ba fakh tu li fa fīh , wa lau lā ka li ma tun sa ba qat
41;45;2;مِنْ رَّبِّكَ لَقُضِيَ بَيْنَهُمْ ۗوَاِنَّهُمْ لَفِيْ شَكٍّ مِّنْهُ مُرِيْبٍ;mir rabbika laquḍiya bainahum, wa innahum lafī syakkim min-hu murī;t mir rab bi ka la qu ḍi ya bai na hum , wa in na hum la fī syak kim min hu mu rī
41;46;1;مَنْ عَمِلَ صَالِحًا فَلِنَفْسِهٖ ۙوَمَنْ اَسَاۤءَ فَعَلَيْهَا ۗوَمَا رَبُّكَ بِظَلَّامٍ لِّلْعَبِيْدِ ۔;man 'amila ṣāliḥan falinafsihī wa man asā`a fa 'alaihā, wa mā rabbuka biẓallāmil lil-'abīd;man 'a mi la ṣā li ḥan fa li naf si hī wa man a sā `a fa 'a lai hā , wa mā rab bu ka bi ẓal lā mil lil 'a bīd
41;47;1;۞ اِلَيْهِ يُرَدُّ عِلْمُ السَّاعَةِ ۗوَمَا تَخْرُجُ مِنْ ثَمَرٰتٍ ِمّنْ اَكْمَامِهَا;ilaihi yuraddu 'ilmus-sā'ah, wa mā takhruju min ṡamarātim min akmāmihā ;i lai hi yu rad du 'il mus sā 'ah , wa mā takh ru ju min ṡa ma rā tim min ak mā mi hā
41;47;2;وَمَا تَحْمِلُ مِنْ اُنْثٰى وَلَا تَضَعُ اِلَّا بِعِلْمِهٖ ۗوَيَوْمَ يُنَادِيْهِمْ;mā taḥmilu min unṡā wa lā taḍa'u illā bi'ilmih, wa yauma yunādīhi;a mā taḥ mi lu min un ṡā wa lā ta ḍa 'u il lā bi 'il mih , wa yau ma yu nā dī hi
41;47;3;اَيْنَ شُرَكَاۤءِيْۙ قَالُوْٓا اٰذَنّٰكَ مَا مِنَّا مِنْ شَهِيْدٍ ۚ;him aina syurakā`ī qālū āżannāka mā minnā min syahīd;ī him ai na syu ra kā `ī qā lū ā żan nā ka mā min nā min sya hīd
41;48;1;وَضَلَّ عَنْهُمْ مَّا كَانُوْا يَدْعُوْنَ مِنْ قَبْلُ وَظَنُّوْا مَا لَهُمْ مِّنْ مَّحِيْصٍ;wa ḍalla 'an-hum mā kānụ yad'ụna ming qablu wa ẓannụ mā lahum mim maḥīṣ;wa ḍal la 'an hum mā kā nụ yad 'ụ na ming qab lu wa ẓan nụ mā la hum mim ma ḥīṣ
41;49;1;لَا يَسْـَٔمُ الْاِنْسَانُ مِنْ دُعَاۤءِ الْخَيْرِۖ وَاِنْ مَّسَّهُ الشَّرُّ فَيَـُٔوْسٌ قَنُوْطٌ;lā yas`amul-insānu min du'ā`il-khairi wa im massahusy-syarru fa ya`ụsung qanụṭ;lā yas `a mul in sā nu min du 'ā `il khai ri wa im mas sa husy syar ru fa ya `ụ sung qa nụṭ
41;50;1;وَلَىِٕنْ اَذَقْنٰهُ رَحْمَةً مِّنَّا مِنْۢ بَعْدِ ضَرَّاۤءَ مَسَّتْهُ لَيَقُوْلَنَّ;wa la`in ażaqnāhu raḥmatam minnā mim ba'di ḍarrā`a massat-hu layaqụlan;wa la `in a żaq nā hu raḥ ma tam min nā mim ba' di ḍar rā `a mas sat hu la ya qụ lan
41;50;2;هٰذَا لِيْۙ وَمَآ اَظُنُّ السَّاعَةَ قَاۤىِٕمَةًۙ وَّلَىِٕنْ رُّجِعْتُ اِلٰى;hāżā lī wa mā aẓunnus-sā'ata qā`imataw wa la`ir ruji'tu i;a hā żā lī wa mā a ẓun nus sā 'a ta qā `i ma taw wa la `ir ru ji' tu i
41;50;3;رَبِّيْٓ اِنَّ لِيْ عِنْدَهٗ لَلْحُسْنٰىۚ فَلَنُنَبِّئَنَّ الَّذِيْنَ كَفَرُوْا;rabbī inna lī 'indahụ lal-ḥusnā, fa lanunabbi`annallażīna ka;ā rab bī in na lī 'in da hụ lal ḥus nā , fa la nu nab bi `an nal la żī na ka
41;50;4;بِمَا عَمِلُوْاۖ وَلَنُذِيْقَنَّهُمْ مِّنْ عَذَابٍ غَلِيْظٍ; bimā 'amilụ wa lanużīqannahum min 'ażābin galīẓ;ụ bi mā 'a mi lụ wa la nu żī qan na hum min 'a żā bin ga līẓ
41;51;1;وَاِذَآ اَنْعَمْنَا عَلَى الْاِنْسَانِ اَعْرَضَ وَنَاٰ بِجَانِبِهٖۚ;iżā an'amnā 'alal-insāni a'raḍa wa na`ā bijānibih;a i żā an 'am nā 'a lal in sā ni a' ra ḍa wa na `ā bi jā ni bih
41;51;2;وَاِذَا مَسَّهُ الشَّرُّ فَذُوْ دُعَاۤءٍ عَرِيْضٍ; wa iżā massahusy-syarru fa żụ du'ā`in 'arīḍ;, wa i żā mas sa husy syar ru fa żụ du 'ā `in 'a rīḍ
41;52;1;قُلْ اَرَءَيْتُمْ اِنْ كَانَ مِنْ عِنْدِ اللّٰهِ ثُمَّ كَفَرْتُمْ;qul a ra`aitum ing kāna min 'indillāhi ṡumma kafart;qul a ra `ai tum ing kā na min 'in dil lā hi ṡum ma ka far t
